id,temp,ph,substrate,yield,kcat_base,Km_base,enzyme_type
GUN25_ARATH,40.0,8.0,Bagasse,0.4557,8.48,27.94,EG
GUN25_ARATH,50.0,4.0,Bagasse,0.4956,8.48,27.94,EG
GUN25_ARATH,50.0,5.0,Bagasse,0.5654,8.48,27.94,EG
GUN25_ARATH,50.0,6.0,Bagasse,0.5918,8.48,27.94,EG
GUN25_ARATH,50.0,7.0,Bagasse,0.5742,8.48,27.94,EG
GUN25_ARATH,50.0,8.0,Bagasse,0.5129,8.48,27.94,EG
GUN25_ARATH,60.0,4.0,Bagasse,0.4855,8.48,27.94,EG
GUN25_ARATH,60.0,5.0,Bagasse,0.5551,8.48,27.94,EG
GUN25_ARATH,60.0,6.0,Bagasse,0.5815,8.48,27.94,EG
GUN25_ARATH,60.0,7.0,Bagasse,0.5639,8.48,27.94,EG
GUN25_ARATH,60.0,8.0,Bagasse,0.5028,8.48,27.94,EG
GUN25_ARATH,70.0,4.0,Bagasse,0.409,8.48,27.94,EG
GUN25_ARATH,70.0,5.0,Bagasse,0.477,8.48,27.94,EG
GUN25_ARATH,70.0,6.0,Bagasse,0.5029,8.48,27.94,EG
GUN25_ARATH,70.0,7.0,Bagasse,0.4856,8.48,27.94,EG
GUN25_ARATH,70.0,8.0,Bagasse,0.4258,8.48,27.94,EG
GUN_CRYAT,30.0,4.0,Cellulose,0.3217,11.07,27.09,EG
GUN_CRYAT,30.0,5.0,Cellulose,0.4077,11.07,27.09,EG
GUN_CRYAT,30.0,6.0,Cellulose,0.4543,11.07,27.09,EG
GUN_CRYAT,30.0,7.0,Cellulose,0.4586,11.07,27.09,EG
GUN_CRYAT,30.0,8.0,Cellulose,0.4203,11.07,27.09,EG
GUN_CRYAT,40.0,4.0,Cellulose,0.4444,11.07,27.09,EG
GUN_CRYAT,40.0,5.0,Cellulose,0.5351,11.07,27.09,EG
GUN_CRYAT,40.0,6.0,Cellulose,0.5834,11.07,27.09,EG
GUN_CRYAT,40.0,7.0,Cellulose,0.5879,11.07,27.09,EG
GUN_CRYAT,40.0,8.0,Cellulose,0.5483,11.07,27.09,EG
GUN_CRYAT,50.0,4.0,Cellulose,0.5049,11.07,27.09,EG
GUN_CRYAT,50.0,5.0,Cellulose,0.597,11.07,27.09,EG
GUN_CRYAT,50.0,6.0,Cellulose,0.6457,11.07,27.09,EG
GUN_CRYAT,50.0,7.0,Cellulose,0.6501,11.07,27.09,EG
GUN_CRYAT,50.0,8.0,Cellulose,0.6102,11.07,27.09,EG
GUN_CRYAT,60.0,4.0,Cellulose,0.4981,11.07,27.09,EG
GUN_CRYAT,60.0,5.0,Cellulose,0.5901,11.07,27.09,EG
GUN_CRYAT,60.0,6.0,Cellulose,0.6388,11.07,27.09,EG
GUN_CRYAT,60.0,7.0,Cellulose,0.6432,11.07,27.09,EG
GUN_CRYAT,60.0,8.0,Cellulose,0.6033,11.07,27.09,EG
GUN_CRYAT,70.0,4.0,Cellulose,0.4245,11.07,27.09,EG
GUN_CRYAT,70.0,5.0,Cellulose,0.5147,11.07,27.09,EG
GUN_CRYAT,70.0,6.0,Cellulose,0.5628,11.07,27.09,EG
GUN_CRYAT,70.0,7.0,Cellulose,0.5672,11.07,27.09,EG
GUN_CRYAT,70.0,8.0,Cellulose,0.5278,11.07,27.09,EG
GUN_CRYAT,30.0,4.0,Xylan,0.1377,11.07,27.09,EG
GUN_CRYAT,30.0,5.0,Xylan,0.2059,11.07,27.09,EG
GUN_CRYAT,30.0,6.0,Xylan,0.2455,11.07,27.09,EG
GUN_CRYAT,30.0,7.0,Xylan,0.2492,11.07,27.09,EG
GUN_CRYAT,30.0,8.0,Xylan,0.2164,11.07,27.09,EG
GUN_CRYAT,40.0,4.0,Xylan,0.2369,11.07,27.09,EG
GUN_CRYAT,40.0,5.0,Xylan,0.3173,11.07,27.09,EG
GUN_CRYAT,40.0,6.0,Xylan,0.3616,11.07,27.09,EG
GUN_CRYAT,40.0,7.0,Xylan,0.3657,11.07,27.09,EG
GUN_CRYAT,40.0,8.0,Xylan,0.3292,11.07,27.09,EG
GUN_CRYAT,50.0,4.0,Xylan,0.29,11.07,27.09,EG
GUN_CRYAT,50.0,5.0,Xylan,0.3742,11.07,27.09,EG
GUN_CRYAT,50.0,6.0,Xylan,0.4201,11.07,27.09,EG
GUN_CRYAT,50.0,7.0,Xylan,0.4243,11.07,27.09,EG
GUN_CRYAT,50.0,8.0,Xylan,0.3866,11.07,27.09,EG
GUN_CRYAT,60.0,4.0,Xylan,0.284,11.07,27.09,EG
GUN_CRYAT,60.0,5.0,Xylan,0.3678,11.07,27.09,EG
GUN_CRYAT,60.0,6.0,Xylan,0.4135,11.07,27.09,EG
GUN_CRYAT,60.0,7.0,Xylan,0.4177,11.07,27.09,EG
GUN_CRYAT,60.0,8.0,Xylan,0.3802,11.07,27.09,EG
GUN_CRYAT,70.0,4.0,Xylan,0.22,11.07,27.09,EG
GUN_CRYAT,70.0,5.0,Xylan,0.2988,11.07,27.09,EG
GUN_CRYAT,70.0,6.0,Xylan,0.3426,11.07,27.09,EG
GUN_CRYAT,70.0,7.0,Xylan,0.3466,11.07,27.09,EG
GUN_CRYAT,70.0,8.0,Xylan,0.3106,11.07,27.09,EG
GUN_CRYAT,30.0,4.0,Bagasse,0.2902,11.07,27.09,EG
GUN_CRYAT,30.0,5.0,Bagasse,0.3744,11.07,27.09,EG
GUN_CRYAT,30.0,6.0,Bagasse,0.4202,11.07,27.09,EG
GUN_CRYAT,30.0,7.0,Bagasse,0.4244,11.07,27.09,EG
GUN_CRYAT,30.0,8.0,Bagasse,0.3868,11.07,27.09,EG
GUN_CRYAT,40.0,4.0,Bagasse,0.4105,11.07,27.09,EG
GUN_CRYAT,40.0,5.0,Bagasse,0.5002,11.07,27.09,EG
GUN_CRYAT,40.0,6.0,Bagasse,0.5481,11.07,27.09,EG
GUN_CRYAT,40.0,7.0,Bagasse,0.5525,11.07,27.09,EG
GUN_CRYAT,40.0,8.0,Bagasse,0.5132,11.07,27.09,EG
GUN_CRYAT,50.0,4.0,Bagasse,0.4702,11.07,27.09,EG
GUN_CRYAT,50.0,5.0,Bagasse,0.5616,11.07,27.09,EG
GUN_CRYAT,50.0,6.0,Bagasse,0.6101,11.07,27.09,EG
GUN_CRYAT,50.0,7.0,Bagasse,0.6146,11.07,27.09,EG
GUN_CRYAT,50.0,8.0,Bagasse,0.5748,11.07,27.09,EG
GUN_CRYAT,60.0,4.0,Bagasse,0.4635,11.07,27.09,EG
GUN_CRYAT,60.0,5.0,Bagasse,0.5547,11.07,27.09,EG
GUN_CRYAT,60.0,6.0,Bagasse,0.6032,11.07,27.09,EG
GUN_CRYAT,60.0,7.0,Bagasse,0.6076,11.07,27.09,EG
GUN_CRYAT,60.0,8.0,Bagasse,0.5679,11.07,27.09,EG
GUN_CRYAT,70.0,4.0,Bagasse,0.3909,11.07,27.09,EG
GUN_CRYAT,70.0,5.0,Bagasse,0.4799,11.07,27.09,EG
GUN_CRYAT,70.0,6.0,Bagasse,0.5276,11.07,27.09,EG
GUN_CRYAT,70.0,7.0,Bagasse,0.532,11.07,27.09,EG
GUN_CRYAT,70.0,8.0,Bagasse,0.4929,11.07,27.09,EG
GUNZ_DICD3,30.0,4.0,Cellulose,0.3606,6.54,28.28,EG
GUNZ_DICD3,30.0,5.0,Cellulose,0.4103,6.54,28.28,EG
GUNZ_DICD3,30.0,6.0,Cellulose,0.4187,6.54,28.28,EG
GUNZ_DICD3,30.0,7.0,Cellulose,0.3853,6.54,28.28,EG
GUNZ_DICD3,30.0,8.0,Cellulose,0.3125,6.54,28.28,EG
GUNZ_DICD3,40.0,4.0,Cellulose,0.4807,6.54,28.28,EG
GUNZ_DICD3,40.0,5.0,Cellulose,0.5327,6.54,28.28,EG
GUNZ_DICD3,40.0,6.0,Cellulose,0.5415,6.54,28.28,EG
GUNZ_DICD3,40.0,7.0,Cellulose,0.5066,6.54,28.28,EG
GUNZ_DICD3,40.0,8.0,Cellulose,0.4296,6.54,28.28,EG
GUNZ_DICD3,50.0,4.0,Cellulose,0.537,6.54,28.28,EG
GUNZ_DICD3,50.0,5.0,Cellulose,0.5896,6.54,28.28,EG
GUNZ_DICD3,50.0,6.0,Cellulose,0.5984,6.54,28.28,EG
GUNZ_DICD3,50.0,7.0,Cellulose,0.5632,6.54,28.28,EG
GUNZ_DICD3,50.0,8.0,Cellulose,0.4849,6.54,28.28,EG
GUNZ_DICD3,60.0,4.0,Cellulose,0.5254,6.54,28.28,EG
GUNZ_DICD3,60.0,5.0,Cellulose,0.5779,6.54,28.28,EG
GUNZ_DICD3,60.0,6.0,Cellulose,0.5867,6.54,28.28,EG
GUNZ_DICD3,60.0,7.0,Cellulose,0.5516,6.54,28.28,EG
GUNZ_DICD3,60.0,8.0,Cellulose,0.4735,6.54,28.28,EG
GUNZ_DICD3,70.0,4.0,Cellulose,0.4467,6.54,28.28,EG
GUNZ_DICD3,70.0,5.0,Cellulose,0.4981,6.54,28.28,EG
GUNZ_DICD3,70.0,6.0,Cellulose,0.5068,6.54,28.28,EG
GUNZ_DICD3,70.0,7.0,Cellulose,0.4723,6.54,28.28,EG
GUNZ_DICD3,70.0,8.0,Cellulose,0.3962,6.54,28.28,EG
GUNZ_DICD3,30.0,4.0,Xylan,0.1681,6.54,28.28,EG
GUNZ_DICD3,30.0,5.0,Xylan,0.2085,6.54,28.28,EG
GUNZ_DICD3,30.0,6.0,Xylan,0.2155,6.54,28.28,EG
GUNZ_DICD3,30.0,7.0,Xylan,0.1878,6.54,28.28,EG
GUNZ_DICD3,30.0,8.0,Xylan,0.1313,6.54,28.28,EG
GUNZ_DICD3,40.0,4.0,Xylan,0.2691,6.54,28.28,EG
GUNZ_DICD3,40.0,5.0,Xylan,0.3156,6.54,28.28,EG
GUNZ_DICD3,40.0,6.0,Xylan,0.3235,6.54,28.28,EG
GUNZ_DICD3,40.0,7.0,Xylan,0.2921,6.54,28.28,EG
GUNZ_DICD3,40.0,8.0,Xylan,0.2247,6.54,28.28,EG
GUNZ_DICD3,50.0,4.0,Xylan,0.3194,6.54,28.28,EG
GUNZ_DICD3,50.0,5.0,Xylan,0.3678,6.54,28.28,EG
GUNZ_DICD3,50.0,6.0,Xylan,0.376,6.54,28.28,EG
GUNZ_DICD3,50.0,7.0,Xylan,0.3434,6.54,28.28,EG
GUNZ_DICD3,50.0,8.0,Xylan,0.2727,6.54,28.28,EG
GUNZ_DICD3,60.0,4.0,Xylan,0.3089,6.54,28.28,EG
GUNZ_DICD3,60.0,5.0,Xylan,0.357,6.54,28.28,EG
GUNZ_DICD3,60.0,6.0,Xylan,0.3651,6.54,28.28,EG
GUNZ_DICD3,60.0,7.0,Xylan,0.3327,6.54,28.28,EG
GUNZ_DICD3,60.0,8.0,Xylan,0.2627,6.54,28.28,EG
GUNZ_DICD3,70.0,4.0,Xylan,0.2393,6.54,28.28,EG
GUNZ_DICD3,70.0,5.0,Xylan,0.2845,6.54,28.28,EG
GUNZ_DICD3,70.0,6.0,Xylan,0.2922,6.54,28.28,EG
GUNZ_DICD3,70.0,7.0,Xylan,0.2616,6.54,28.28,EG
GUNZ_DICD3,70.0,8.0,Xylan,0.1968,6.54,28.28,EG
GUNZ_DICD3,30.0,4.0,Bagasse,0.3282,6.54,28.28,EG
GUNZ_DICD3,30.0,5.0,Bagasse,0.3769,6.54,28.28,EG
GUNZ_DICD3,30.0,6.0,Bagasse,0.3852,6.54,28.28,EG
GUNZ_DICD3,30.0,7.0,Bagasse,0.3524,6.54,28.28,EG
GUNZ_DICD3,30.0,8.0,Bagasse,0.2812,6.54,28.28,EG
GUNZ_DICD3,40.0,4.0,Bagasse,0.4464,6.54,28.28,EG
GUNZ_DICD3,40.0,5.0,Bagasse,0.4979,6.54,28.28,EG
GUNZ_DICD3,40.0,6.0,Bagasse,0.5065,6.54,28.28,EG
GUNZ_DICD3,40.0,7.0,Bagasse,0.472,6.54,28.28,EG
GUNZ_DICD3,40.0,8.0,Bagasse,0.3959,6.54,28.28,EG
GUNZ_DICD3,50.0,4.0,Bagasse,0.5021,6.54,28.28,EG
GUNZ_DICD3,50.0,5.0,Bagasse,0.5543,6.54,28.28,EG
GUNZ_DICD3,50.0,6.0,Bagasse,0.5631,6.54,28.28,EG
GUNZ_DICD3,50.0,7.0,Bagasse,0.5281,6.54,28.28,EG
GUNZ_DICD3,50.0,8.0,Bagasse,0.4505,6.54,28.28,EG
GUNZ_DICD3,60.0,4.0,Bagasse,0.4906,6.54,28.28,EG
GUNZ_DICD3,60.0,5.0,Bagasse,0.5427,6.54,28.28,EG
GUNZ_DICD3,60.0,6.0,Bagasse,0.5515,6.54,28.28,EG
GUNZ_DICD3,60.0,7.0,Bagasse,0.5166,6.54,28.28,EG
GUNZ_DICD3,60.0,8.0,Bagasse,0.4393,6.54,28.28,EG
GUNZ_DICD3,70.0,4.0,Bagasse,0.4128,6.54,28.28,EG
GUNZ_DICD3,70.0,5.0,Bagasse,0.4636,6.54,28.28,EG
GUNZ_DICD3,70.0,6.0,Bagasse,0.4722,6.54,28.28,EG
GUNZ_DICD3,70.0,7.0,Bagasse,0.4381,6.54,28.28,EG
GUNZ_DICD3,70.0,8.0,Bagasse,0.3631,6.54,28.28,EG
GUN1_HYPJE,30.0,4.0,Cellulose,0.1038,0.16,27.54,EG
GUN1_HYPJE,30.0,5.0,Cellulose,0.1089,0.16,27.54,EG
GUN1_HYPJE,30.0,6.0,Cellulose,0.0891,0.16,27.54,EG
GUN1_HYPJE,30.0,7.0,Cellulose,0.0531,0.16,27.54,EG
GUN1_HYPJE,30.0,8.0,Cellulose,0.0198,0.16,27.54,EG
GUN1_HYPJE,40.0,4.0,Cellulose,0.1911,0.16,27.54,EG
GUN1_HYPJE,40.0,5.0,Cellulose,0.1978,0.16,27.54,EG
GUN1_HYPJE,40.0,6.0,Cellulose,0.1714,0.16,27.54,EG
GUN1_HYPJE,40.0,7.0,Cellulose,0.1179,0.16,27.54,EG
GUN1_HYPJE,40.0,8.0,Cellulose,0.0554,0.16,27.54,EG
GUN1_HYPJE,50.0,4.0,Cellulose,0.2391,0.16,27.54,EG
GUN1_HYPJE,50.0,5.0,Cellulose,0.2464,0.16,27.54,EG
GUN1_HYPJE,50.0,6.0,Cellulose,0.2177,0.16,27.54,EG
GUN1_HYPJE,50.0,7.0,Cellulose,0.1579,0.16,27.54,EG
GUN1_HYPJE,50.0,8.0,Cellulose,0.0826,0.16,27.54,EG
GUN1_HYPJE,60.0,4.0,Cellulose,0.2324,0.16,27.54,EG
GUN1_HYPJE,60.0,5.0,Cellulose,0.2396,0.16,27.54,EG
GUN1_HYPJE,60.0,6.0,Cellulose,0.2111,0.16,27.54,EG
GUN1_HYPJE,60.0,7.0,Cellulose,0.1522,0.16,27.54,EG
GUN1_HYPJE,60.0,8.0,Cellulose,0.0785,0.16,27.54,EG
GUN1_HYPJE,70.0,4.0,Cellulose,0.1726,0.16,27.54,EG
GUN1_HYPJE,70.0,5.0,Cellulose,0.1791,0.16,27.54,EG
GUN1_HYPJE,70.0,6.0,Cellulose,0.1537,0.16,27.54,EG
GUN1_HYPJE,70.0,7.0,Cellulose,0.1031,0.16,27.54,EG
GUN1_HYPJE,70.0,8.0,Cellulose,0.0463,0.16,27.54,EG
GUN1_HYPJE,30.0,4.0,Xylan,0.0199,0.16,27.54,EG
GUN1_HYPJE,30.0,5.0,Xylan,0.0215,0.16,27.54,EG
GUN1_HYPJE,30.0,6.0,Xylan,0.0158,0.16,27.54,EG
GUN1_HYPJE,30.0,7.0,Xylan,0.0075,0.16,27.54,EG
GUN1_HYPJE,30.0,8.0,Xylan,0.0023,0.16,27.54,EG
GUN1_HYPJE,40.0,4.0,Xylan,0.0558,0.16,27.54,EG
GUN1_HYPJE,40.0,5.0,Xylan,0.0593,0.16,27.54,EG
GUN1_HYPJE,40.0,6.0,Xylan,0.0461,0.16,27.54,EG
GUN1_HYPJE,40.0,7.0,Xylan,0.0245,0.16,27.54,EG
GUN1_HYPJE,40.0,8.0,Xylan,0.008,0.16,27.54,EG
GUN1_HYPJE,50.0,4.0,Xylan,0.083,0.16,27.54,EG
GUN1_HYPJE,50.0,5.0,Xylan,0.0876,0.16,27.54,EG
GUN1_HYPJE,50.0,6.0,Xylan,0.0703,0.16,27.54,EG
GUN1_HYPJE,50.0,7.0,Xylan,0.04,0.16,27.54,EG
GUN1_HYPJE,50.0,8.0,Xylan,0.0141,0.16,27.54,EG
GUN1_HYPJE,60.0,4.0,Xylan,0.0789,0.16,27.54,EG
GUN1_HYPJE,60.0,5.0,Xylan,0.0833,0.16,27.54,EG
GUN1_HYPJE,60.0,6.0,Xylan,0.0666,0.16,27.54,EG
GUN1_HYPJE,60.0,7.0,Xylan,0.0375,0.16,27.54,EG
GUN1_HYPJE,60.0,8.0,Xylan,0.013,0.16,27.54,EG
GUN1_HYPJE,70.0,4.0,Xylan,0.0466,0.16,27.54,EG
GUN1_HYPJE,70.0,5.0,Xylan,0.0497,0.16,27.54,EG
GUN1_HYPJE,70.0,6.0,Xylan,0.0381,0.16,27.54,EG
GUN1_HYPJE,70.0,7.0,Xylan,0.0198,0.16,27.54,EG
GUN1_HYPJE,70.0,8.0,Xylan,0.0063,0.16,27.54,EG
GUN1_HYPJE,30.0,4.0,Bagasse,0.0845,0.16,27.54,EG
GUN1_HYPJE,30.0,5.0,Bagasse,0.0891,0.16,27.54,EG
GUN1_HYPJE,30.0,6.0,Bagasse,0.0716,0.16,27.54,EG
GUN1_HYPJE,30.0,7.0,Bagasse,0.0409,0.16,27.54,EG
GUN1_HYPJE,30.0,8.0,Bagasse,0.0144,0.16,27.54,EG
GUN1_HYPJE,40.0,4.0,Bagasse,0.1649,0.16,27.54,EG
GUN1_HYPJE,40.0,5.0,Bagasse,0.1713,0.16,27.54,EG
GUN1_HYPJE,40.0,6.0,Bagasse,0.1464,0.16,27.54,EG
GUN1_HYPJE,40.0,7.0,Bagasse,0.0971,0.16,27.54,EG
GUN1_HYPJE,40.0,8.0,Bagasse,0.0428,0.16,27.54,EG
GUN1_HYPJE,50.0,4.0,Bagasse,0.2106,0.16,27.54,EG
GUN1_HYPJE,50.0,5.0,Bagasse,0.2176,0.16,27.54,EG
GUN1_HYPJE,50.0,6.0,Bagasse,0.1902,0.16,27.54,EG
GUN1_HYPJE,50.0,7.0,Bagasse,0.1339,0.16,27.54,EG
GUN1_HYPJE,50.0,8.0,Bagasse,0.0659,0.16,27.54,EG
GUN1_HYPJE,60.0,4.0,Bagasse,0.2041,0.16,27.54,EG
GUN1_HYPJE,60.0,5.0,Bagasse,0.2111,0.16,27.54,EG
GUN1_HYPJE,60.0,6.0,Bagasse,0.1839,0.16,27.54,EG
GUN1_HYPJE,60.0,7.0,Bagasse,0.1285,0.16,27.54,EG
GUN1_HYPJE,60.0,8.0,Bagasse,0.0623,0.16,27.54,EG
GUN1_HYPJE,70.0,4.0,Bagasse,0.1475,0.16,27.54,EG
GUN1_HYPJE,70.0,5.0,Bagasse,0.1536,0.16,27.54,EG
GUN1_HYPJE,70.0,6.0,Bagasse,0.1299,0.16,27.54,EG
GUN1_HYPJE,70.0,7.0,Bagasse,0.0839,0.16,27.54,EG
GUN1_HYPJE,70.0,8.0,Bagasse,0.0353,0.16,27.54,EG
GUN2_THEFU,30.0,4.0,Cellulose,0.2363,37.3367,31.4543,EG
GUN2_THEFU,30.0,5.0,Cellulose,0.285,37.3367,31.4543,EG
GUN2_THEFU,30.0,6.0,Cellulose,0.3021,37.3367,31.4543,EG
GUN2_THEFU,30.0,7.0,Cellulose,0.285,37.3367,31.4543,EG
GUN2_THEFU,30.0,8.0,Cellulose,0.2363,37.3367,31.4543,EG
GUN2_THEFU,40.0,4.0,Cellulose,0.3709,37.3367,31.4543,EG
GUN2_THEFU,40.0,5.0,Cellulose,0.4284,37.3367,31.4543,EG
GUN2_THEFU,40.0,6.0,Cellulose,0.4481,37.3367,31.4543,EG
GUN2_THEFU,40.0,7.0,Cellulose,0.4284,37.3367,31.4543,EG
GUN2_THEFU,40.0,8.0,Cellulose,0.3709,37.3367,31.4543,EG
GUN2_THEFU,50.0,4.0,Cellulose,0.4617,37.3367,31.4543,EG
GUN2_THEFU,50.0,5.0,Cellulose,0.5226,37.3367,31.4543,EG
GUN2_THEFU,50.0,6.0,Cellulose,0.5433,37.3367,31.4543,EG
GUN2_THEFU,50.0,7.0,Cellulose,0.5226,37.3367,31.4543,EG
GUN2_THEFU,50.0,8.0,Cellulose,0.4617,37.3367,31.4543,EG
GUN2_THEFU,60.0,4.0,Cellulose,0.4932,37.3367,31.4543,EG
GUN2_THEFU,60.0,5.0,Cellulose,0.555,37.3367,31.4543,EG
GUN2_THEFU,60.0,6.0,Cellulose,0.5759,37.3367,31.4543,EG
GUN2_THEFU,60.0,7.0,Cellulose,0.555,37.3367,31.4543,EG
GUN2_THEFU,60.0,8.0,Cellulose,0.4932,37.3367,31.4543,EG
GUN2_THEFU,70.0,4.0,Cellulose,0.4617,37.3367,31.4543,EG
GUN2_THEFU,70.0,5.0,Cellulose,0.5226,37.3367,31.4543,EG
GUN2_THEFU,70.0,6.0,Cellulose,0.5433,37.3367,31.4543,EG
GUN2_THEFU,70.0,7.0,Cellulose,0.5226,37.3367,31.4543,EG
GUN2_THEFU,70.0,8.0,Cellulose,0.4617,37.3367,31.4543,EG
GUN2_THEFU,30.0,4.0,Xylan,0.1042,37.3367,31.4543,EG
GUN2_THEFU,30.0,5.0,Xylan,0.1361,37.3367,31.4543,EG
GUN2_THEFU,30.0,6.0,Xylan,0.1479,37.3367,31.4543,EG
GUN2_THEFU,30.0,7.0,Xylan,0.1361,37.3367,31.4543,EG
GUN2_THEFU,30.0,8.0,Xylan,0.1042,37.3367,31.4543,EG
GUN2_THEFU,40.0,4.0,Xylan,0.1983,37.3367,31.4543,EG
GUN2_THEFU,40.0,5.0,Xylan,0.2433,37.3367,31.4543,EG
GUN2_THEFU,40.0,6.0,Xylan,0.2593,37.3367,31.4543,EG
GUN2_THEFU,40.0,7.0,Xylan,0.2433,37.3367,31.4543,EG
GUN2_THEFU,40.0,8.0,Xylan,0.1983,37.3367,31.4543,EG
GUN2_THEFU,50.0,4.0,Xylan,0.2706,37.3367,31.4543,EG
GUN2_THEFU,50.0,5.0,Xylan,0.3221,37.3367,31.4543,EG
GUN2_THEFU,50.0,6.0,Xylan,0.3401,37.3367,31.4543,EG
GUN2_THEFU,50.0,7.0,Xylan,0.3221,37.3367,31.4543,EG
GUN2_THEFU,50.0,8.0,Xylan,0.2706,37.3367,31.4543,EG
GUN2_THEFU,60.0,4.0,Xylan,0.297,37.3367,31.4543,EG
GUN2_THEFU,60.0,5.0,Xylan,0.3503,37.3367,31.4543,EG
GUN2_THEFU,60.0,6.0,Xylan,0.3688,37.3367,31.4543,EG
GUN2_THEFU,60.0,7.0,Xylan,0.3503,37.3367,31.4543,EG
GUN2_THEFU,60.0,8.0,Xylan,0.297,37.3367,31.4543,EG
